"id_one_label","code_label","notas","response","message","sign","message_status","validated_date","activated_date","signed_date","bg_status","id_user","date_created","last_updated","cod_contable_id"
1071,"001G7OY0",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.505413000","2022-09-27 16:28:31.939034000","02012130020202010750"
1072,"001G8G77",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.507527000","2022-09-27 16:28:32.604955000","02012130020202010750"
1073,"001HJFB8",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.509703000","2022-09-27 16:28:33.266097000","02012130020202010750"
1074,"001HK6K2",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.512240000","2022-09-27 16:28:33.928988000","02012130020202010750"
1075,"001HKXT2",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.514454000","2022-09-27 16:28:34.595729000","02012130020202010750"
1076,"001HLP20",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.516880000","2022-09-27 16:28:35.263909000","02012130020202010750"
1077,"001HOQ26",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.518999000","2022-09-27 16:28:35.924684000","02012130020202010750"
1078,"001HNYT9",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.521171000","2022-09-27 16:28:36.641752000","02012130020202010750"
1079,"001HN7K9",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.523260000","2022-09-27 16:28:37.302742000","02012130020202010750"
1080,"001HMGB4",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.525533000","2022-09-27 16:28:37.967094000","02012130020202010750"
1081,"001HPHB0",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.527802000","2022-09-27 16:28:38.841975000","02012130020202010750"
1082,"001HQ8K5",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.529964000","2022-09-27 16:28:39.504344000","02012130020202010750"
1083,"001HQZT5",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.532071000","2022-09-27 16:28:40.174292000","02012130020202010750"
1084,"001GP5C6",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.534199000","2022-09-27 16:28:40.838334000","02012130020202010750"
1085,"002C03Z3",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.536264000","2022-09-27 16:28:41.500065000","02012130020202010750"
1086,"002C2DQ5",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.538384000","2022-09-27 16:28:42.174874000","02012130020202010750"
1087,"002C1MH0",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.540553000","2022-09-27 16:28:42.840933000","02012130020202010750"
